Number of COVID-19 Tests by Municipality of Residence and Week Excluding Congregate Settings Residents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week of Result Date,BARRINGTON,BRISTOL,BURRILLVILLE,CENTRAL FALLS,CHARLESTOWN,COVENTRY,CRANSTON,CUMBERLAND,EAST GREENWICH,EAST PROVIDENCE,EXETER,FOSTER,GLOCESTER,HOPKINTON,JAMESTOWN,JOHNSTON,LINCOLN,LITTLE COMPTON,MIDDLETOWN,NARRAGANSETT,NEW SHOREHAM,NEWPORT,NORTH KINGSTOWN,NORTH PROVIDENCE,NORTH SMITHFIELD,PAWTUCKET,PORTSMOUTH,PROVIDENCE,RICHMOND,SCITUATE,SMITHFIELD,SOUTH KINGSTOWN,TIVERTON,WARREN,WARWICK,WEST GREENWICH,WEST WARWICK,WESTERLY,WOONSOCKET,UNKNOWN,TOTAL
3/1/20-3/7/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/8/20-3/14/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/15/20-3/21/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/22/20-3/28/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/29/20-4/4/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/5/20-4/11/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/12/20-4/18/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/19/20-4/25/20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4/26/20-5/2/20,128,198,191,590,48,275,1063,426,219,725,56,39,72,56,35,352,259,17,170,93,5,214,239,581,144,1300,127,3316,43,114,142,169,142,114,767,28,293,95,507,1034,14386
5/3/20-5/9/20,109,233,139,653,63,323,1156,343,218,715,40,25,76,55,49,431,302,22,162,78,7,225,228,571,104,1500,123,3465,51,116,138,238,174,152,913,38,330,188,497,1290,15540
5/10/20-5/16/20,121,215,249,608,106,474,1153,379,268,745,49,48,103,131,45,434,306,28,295,131,<5,281,312,635,293,1424,154,3676,65,137,174,276,138,169,990,44,341,378,530,1130,17039
5/17/20-5/23/20,134,281,227,525,74,406,1281,433,343,711,53,72,133,68,80,418,314,34,271,117,6,383,290,583,170,1567,150,3771,57,125,130,281,171,176,944,51,348,145,603,723,16649
5/24/20-5/30/20,96,311,197,352,94,455,1032,320,228,625,65,56,84,103,47,364,215,26,200,127,30,218,318,444,160,1075,145,2855,71,132,150,268,153,192,1003,50,352,239,555,456,13863
5/31/20-6/6/20,135,237,221,339,95,540,1125,371,324,842,97,59,101,78,71,428,326,32,305,137,11,359,364,560,165,1242,188,3290,85,138,172,332,165,147,1130,45,443,168,587,430,15884
6/7/20-6/13/20,160,290,139,273,74,363,987,449,286,617,55,53,82,44,82,408,335,35,253,115,6,426,260,495,140,1105,187,3005,35,112,203,264,169,148,936,44,294,115,512,588,14144
6/14/20-6/20/20,182,230,149,285,93,362,926,320,323,565,61,54,84,77,71,399,207,27,306,158,8,435,416,456,141,813,219,3001,62,133,163,410,110,155,857,47,375,241,442,427,13790
6/21/20-6/27/20,193,257,172,274,129,486,1071,457,403,735,60,51,96,82,87,430,308,28,241,173,19,414,405,535,155,1058,189,3187,55,187,220,481,149,138,1120,92,373,319,616,571,16016
6/28/20-7/4/20,207,323,163,250,106,431,873,307,409,629,59,44,84,80,86,308,202,22,260,191,21,462,369,385,180,854,158,2574,49,149,178,367,86,142,966,63,396,285,512,548,13778
7/5/20-7/11/20,263,411,184,301,156,600,1273,487,472,909,78,77,108,105,120,433,310,43,374,236,31,635,484,575,146,1151,267,3415,59,192,308,599,134,174,1202,102,493,274,581,904,18666
7/12/20-7/18/20,277,354,176,340,171,569,1134,477,462,742,78,75,99,94,108,398,292,50,341,187,41,432,464,531,134,1287,217,3171,74,174,258,528,154,178,1160,80,470,305,553,867,17502
7/19/20-7/25/20,270,461,197,440,151,847,1497,489,646,1039,106,88,129,116,113,522,331,52,392,269,49,637,590,647,153,1611,208,3892,68,219,267,672,175,234,1498,127,600,394,735,1681,22612
7/26/20-8/1/20,334,434,201,494,144,871,1437,592,374,1111,84,68,89,121,94,429,316,41,325,217,39,533,451,625,163,1786,243,3948,94,224,271,539,187,231,1714,126,615,348,887,2443,23243
8/2/20-8/8/20,381,1070,227,521,158,755,1555,623,380,1101,82,83,112,98,96,512,391,54,518,220,32,651,478,641,171,1611,260,4356,75,208,266,554,249,223,1442,88,525,396,774,3249,25186
8/9/20-8/15/20,401,712,302,504,146,554,1420,739,441,1009,78,68,114,127,121,482,403,58,369,256,56,549,472,675,180,1622,302,4054,78,177,327,521,189,217,1397,86,526,355,927,2940,23954
8/16/20-8/22/20,439,3649,366,414,144,568,1403,822,520,989,99,85,174,123,120,466,436,78,392,323,47,526,722,596,216,1565,285,4941,71,208,1982,518,246,234,1483,84,509,397,786,2660,29686
8/23/20-8/29/20,458,6358,260,451,179,690,1536,777,584,1002,84,110,141,129,134,515,473,55,288,287,44,790,614,627,331,1495,253,6808,68,240,4166,649,219,195,1536,102,539,376,861,2299,36723
8/30/20-9/5/20,576,6991,393,345,166,672,1738,936,611,1116,104,126,166,134,162,598,552,72,406,307,28,1227,680,702,407,1773,360,11781,80,279,3327,640,267,257,1533,130,479,363,1071,1324,42879
9/6/20-9/12/20,514,7512,262,349,144,618,1475,729,458,1069,78,93,171,119,126,472,465,50,491,266,61,1680,555,582,271,1611,274,9971,68,230,3618,531,261,215,1381,100,445,330,677,1355,39677
9/13/20-9/19/20,560,8135,308,404,184,749,1744,800,551,1155,128,131,194,161,175,676,598,54,308,352,40,786,743,746,336,1737,350,12114,74,299,3685,681,272,255,1623,138,590,427,882,1358,44503
9/20/20-9/26/20,692,7832,382,489,231,815,1893,1025,687,1373,140,158,231,186,178,743,667,67,384,371,36,944,802,815,411,1968,353,13433,90,345,3722,727,314,277,1790,155,605,537,894,2057,48819
9/27/20-10/3/20,700,7524,483,559,246,909,2000,1039,691,1476,147,138,226,222,173,829,718,89,405,431,27,796,1008,888,407,2348,343,14131,131,345,3698,869,301,271,1854,170,631,556,948,2064,50791
10/4/20-10/10/20,851,7227,492,569,283,991,2275,1231,954,1440,221,189,276,333,245,889,797,90,487,497,29,955,1188,988,422,2418,489,15072,162,422,3843,1385,406,317,2160,237,704,716,963,4332,57545
10/11/20-10/17/20,765,7077,570,622,326,1183,2405,1177,818,1510,189,204,301,275,193,1001,757,106,502,465,43,1033,1149,1018,499,2391,504,14375,159,439,3862,1278,435,326,2377,245,848,741,1104,4534,57806
10/18/20-10/24/20,819,6860,550,821,273,1269,3010,1318,1135,1875,142,183,332,246,193,1205,881,127,703,446,52,1417,1207,1220,451,2983,562,16379,185,529,3790,1108,496,392,2534,213,904,675,1250,5686,64421
10/25/20-10/31/20,994,6847,625,942,245,1265,3155,1515,1189,2039,173,216,371,316,213,1166,1025,141,822,458,62,1205,1311,1302,536,2996,684,15976,185,541,3851,1122,579,470,2861,213,1000,729,1370,4777,65487
11/1/20-11/7/20,966,6806,621,926,292,1426,3301,1476,1318,2032,185,209,392,339,238,1221,1006,126,852,443,84,1316,1293,1282,612,3337,673,16575,221,547,3827,1258,559,494,3086,250,1098,753,1419,4999,67858
11/8/20-11/14/20,881,6633,617,945,331,1445,3497,1466,1291,2149,217,205,318,355,255,1309,949,98,782,497,108,1360,1443,1276,489,3330,692,17169,221,532,3991,1433,537,508,3138,224,1167,786,1321,4824,68789
11/15/20-11/21/20,1158,6237,816,999,488,2137,4339,1847,1613,2590,282,205,410,437,298,1680,1151,136,918,702,153,1835,2029,1715,788,3994,768,18329,265,627,2695,1776,564,520,4275,326,1538,1201,1633,4977,78451
11/22/20-11/28/20,1063,2258,675,847,434,1606,3430,1544,1404,2073,245,190,342,381,303,1438,1036,131,554,671,49,1550,1653,1409,468,3292,668,15758,229,546,1123,1564,467,407,3534,267,1175,1107,1301,4863,62055
11/29/20-12/5/20,1070,1007,1028,1055,525,1875,4686,2056,1483,2738,356,240,452,483,346,1799,1320,116,765,636,62,1470,1953,1732,812,4343,747,17598,385,694,940,1824,612,514,4247,330,1422,1300,1772,6906,73699
12/6/20-12/12/20,1182,1159,1005,878,535,1984,4543,2276,1679,2909,374,262,528,473,355,1856,1438,146,778,836,86,1527,2038,1891,703,4508,775,17907,360,796,1027,1894,646,554,4556,354,1576,1443,1981,8558,78376
12/13/20-12/19/20,1230,1201,813,648,523,2383,3881,2050,1785,2543,310,203,425,448,383,1362,1385,164,921,835,78,1879,2069,1564,696,3681,881,15046,361,649,799,1836,665,586,3941,320,1279,1589,1856,7065,70333
12/20/20-12/26/20,1291,1253,719,565,502,1465,3507,2002,1674,2300,313,212,379,360,391,1439,1288,199,1011,896,59,1546,2200,1773,702,3314,1065,11990,296,640,814,2069,608,670,3813,323,1084,1439,1607,9168,66946
12/27/20-1/2/21,1496,1231,791,639,587,1584,3555,1974,1894,2430,316,238,394,401,562,1409,1229,181,1099,994,47,1868,2464,1639,686,3171,1140,11935,328,576,751,2192,710,716,3859,353,1236,1283,1642,11467,71067
1/3/21-1/9/21,1717,1623,896,720,628,2011,4605,2301,2373,2956,424,327,513,460,762,1765,1591,224,1519,1157,93,2241,3135,2023,880,4235,1553,16640,428,717,1142,2760,823,790,4673,447,1564,1665,2008,16606,92995
1/10/21-1/16/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1/17/21-1/23/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1/24/21-1/30/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1/31/21-2/6/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2/7/21-2/13/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2/14/21-2/20/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2/21/21-2/27/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2/28/21-3/6/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/7/21-3/13/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/14/21-3/20/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3/21/21-3/27/21,1115,6545,751,687,390,1512,3526,1745,1717,2319,314,283,410,435,404,1296,1116,176,991,622,31,2017,2055,1421,661,3317,906,19676,293,646,4005,1652,567,523,3295,1061,1110,1080,1645,11789,84104
3/28/21-4/3/21,1488,6763,801,825,442,1973,4378,2149,1951,2822,381,277,430,513,365,1492,1522,318,1515,787,32,2484,2289,1513,729,3960,1139,20264,401,732,4637,2344,638,667,4450,936,1388,1247,1828,3371,86241
4/4/21-4/10/21,1201,6712,814,871,381,1940,4149,2013,1617,2578,322,244,394,425,373,1489,1553,275,1684,629,39,2385,1906,1576,685,4162,1063,20389,270,624,3903,1645,591,588,4319,1174,1412,953,1894,3981,83223
4/11/21-4/17/21,1400,6189,854,823,404,1925,4223,2158,1677,2599,281,290,439,466,283,1414,1483,169,2150,607,31,3085,1926,1519,802,3971,908,19316,389,681,3710,1687,607,621,4171,1117,1434,1007,1886,3424,82126
4/18/21-4/24/21,1197,5844,749,816,327,1599,3857,1840,1504,2373,252,314,345,328,320,1366,1381,160,1501,535,22,2586,1742,1428,675,3488,968,17313,247,522,3672,1457,584,542,3802,910,1290,942,1833,2918,73549
4/25/21-5/1/21,1212,5730,657,842,329,1704,3723,1770,1476,2550,251,234,368,329,443,1310,1355,307,1440,573,27,1832,1780,1396,641,3420,859,16241,332,565,3457,1553,517,507,3323,926,1104,966,1739,2862,70650
5/2/21-5/8/21,1042,4916,548,769,293,1583,3058,1368,1011,1922,232,173,331,341,238,1011,1012,241,1159,513,29,1683,1387,1115,511,3008,644,13196,243,544,3239,1034,447,460,3083,1006,980,755,1741,2556,59422
5/9/21-5/15/21,774,3413,524,691,251,1455,2816,1198,949,1723,207,178,222,273,195,988,971,246,1084,382,10,1145,1207,1059,399,2850,570,12612,228,442,2553,967,374,436,2737,1006,934,648,1667,1992,52376
5/16/21-5/22/21,721,2489,464,639,195,1118,2613,1160,813,1598,164,131,194,249,178,848,852,240,905,457,16,824,987,1077,532,2483,534,11133,198,347,1219,797,333,347,2306,948,753,663,1431,1715,44671
5/23/21-5/29/21,555,616,339,530,166,890,2119,966,737,1263,145,103,156,174,140,721,743,209,709,274,16,638,729,791,315,2160,387,9669,156,329,488,669,210,270,2087,793,629,476,1131,1358,34856
5/30/21-6/5/21,542,579,294,474,152,953,2062,855,706,1129,133,85,166,163,120,704,549,189,361,227,13,492,797,763,353,2082,334,8227,187,292,452,596,224,243,1749,887,602,397,1133,1431,31697
6/6/21-6/12/21,584,686,274,401,138,784,2030,825,593,1101,123,94,147,195,108,634,547,190,456,247,6,672,717,695,198,1916,324,7313,180,272,363,600,187,260,1795,897,561,432,967,1392,29904
6/13/21-6/19/21,545,529,291,446,124,703,1882,727,565,1101,102,92,149,149,126,648,476,193,388,250,8,565,695,657,320,2269,327,7175,124,241,303,559,221,237,1729,704,591,404,907,1152,28674
6/20/21-6/26/21,456,444,259,420,159,685,1686,679,537,913,126,87,132,136,118,558,440,176,310,225,13,505,654,737,264,1769,287,6734,128,187,290,557,171,177,1460,831,496,392,822,1405,26425
6/27/21-7/3/21,451,256,248,424,115,557,1454,609,450,968,95,82,103,212,93,500,386,32,297,194,8,491,553,622,237,1755,287,6238,75,187,238,452,160,167,1328,876,443,345,748,1125,23861
7/4/21-7/10/21,358,282,202,325,123,539,1381,558,429,794,124,99,118,94,95,445,366,42,254,211,<5,387,517,538,167,1426,255,5302,86,146,234,395,116,137,1278,676,452,333,688,1030,21005
7/11/21-7/17/21,377,361,241,387,110,605,1569,544,472,842,95,72,144,134,143,514,432,46,308,219,22,843,606,656,169,1662,326,4445,118,198,346,508,157,160,1327,865,461,319,747,1153,22703
7/18/21-7/24/21,545,766,268,370,182,704,1675,717,576,968,151,72,110,132,174,515,436,50,373,309,225,703,798,707,221,1720,335,4719,151,202,249,679,196,211,1495,473,499,426,831,1221,25154
7/25/21-7/31/21,631,818,324,423,211,769,2116,837,713,1139,157,95,180,179,192,663,586,78,539,378,197,1306,978,775,357,2147,457,5735,171,299,338,805,287,247,1970,475,598,637,917,1734,31458
8/1/21-8/7/21,787,534,324,560,265,943,2406,974,883,1305,166,122,164,213,215,754,676,151,635,435,23,952,1184,967,495,2142,533,6410,217,297,430,971,308,285,2253,828,782,846,1062,4314,37811
8/8/21-8/14/21,796,515,349,544,275,1129,2745,1099,899,1557,225,101,217,240,219,881,695,85,743,466,99,992,1580,1037,402,2756,662,8040,180,351,373,1129,335,314,2592,507,775,920,1287,4293,42404
8/15/21-8/21/21,1050,787,453,714,302,1300,2951,1385,1078,1832,252,157,241,302,263,1076,823,92,666,499,33,1029,1608,1290,446,3238,694,9601,270,374,736,1236,378,441,2875,901,1035,988,1413,4381,49190
8/22/21-8/28/21,921,875,492,547,300,1169,2756,1317,1015,1880,232,161,275,256,248,1073,804,81,611,509,34,927,1488,1253,415,3006,648,10452,205,410,625,1052,415,422,2880,451,905,841,1480,3963,47394
8/29/21-9/4/21,1086,978,596,749,410,1646,3524,1541,1236,2419,275,207,347,310,369,1267,994,119,847,568,24,1197,1755,1463,530,3670,805,14347,318,500,759,1457,467,509,3511,896,1377,1052,1866,5328,61319
9/5/21-9/11/21,1015,960,584,939,387,2067,3630,1757,1092,2521,331,211,404,340,294,1445,1167,138,839,564,23,1443,1697,1426,621,3972,762,16805,329,549,903,1351,470,452,3533,542,1331,933,1987,5124,64938
9/12/21-9/18/21,1336,1188,707,1209,514,2401,4333,2077,1514,3246,446,300,441,477,327,1691,1452,294,973,885,14,1510,2210,1820,813,4870,938,19840,375,554,1105,1868,544,629,4107,1142,1682,1113,2506,6063,79514
9/19/21-9/25/21,1234,1195,828,1490,567,2329,4388,2270,1452,3033,431,252,449,437,355,1772,1365,269,847,890,27,1725,2648,1842,744,4977,1022,19203,391,615,1229,2045,544,576,4144,484,1526,1564,2597,5292,79048
9/26/21-10/2/21,1583,1272,807,1332,436,2131,4358,2031,1474,2842,344,286,458,428,338,1663,1340,269,1072,722,18,1918,2248,1758,727,4534,1066,19762,375,725,1413,2217,681,746,4354,358,1626,1200,2548,4356,77816